user_name,bid_no,name_of_work,category,ministry_and_department,quantity,emd,exemption,estimation_value,state,location,apply_mode,website_link,document_link,attachment_link,end_date
mahi,GEM/2025/B/6492472,Fume Exhaust System with Scrubber or Fume Hood with Scrubber,,Department of Space - Department of Space,2,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8134104,https://bidplus.gem.gov.in/showbidDocument/8134104,16-08-2025 15:00:00
mahi,GEM/2025/B/6494470,SPIRAL HAIR SPRING,,Ministry of Steel - Rashtriya Ispat Nigam Limited,24,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8136379,https://bidplus.gem.gov.in/showbidDocument/8136379,16-08-2025 11:00:00
mahi,GEM/2025/B/6500823,"SUPPLY - 5 HEAD COLD FLARING UNIT,ERECTION & COMMISIONING",,Ministry of Petroleum and Natural Gas - NA,2,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8143656,https://bidplus.gem.gov.in/showbidDocument/8143656,16-08-2025 15:00:00
mahi,GEM/2025/B/6499390,Desktop Computer,,PMO - Department of Atomic Energy,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8142004,https://bidplus.gem.gov.in/showbidDocument/8142004,16-08-2025 09:00:00
mahi,GEM/2025/B/6499175,"Suspended Electro magnet, Model– SE– 7530 Suspended electro magnet, Style-3-SCS7530-8206, Seria",,PMO - Department of Atomic Energy,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8141754,https://bidplus.gem.gov.in/showbidDocument/8141754,16-08-2025 09:00:00
mahi,GEM/2025/B/6495339,"SPR, TC, 50CRV4, 11 MM, 1/D-23462/00 PART 02,VOLUTE SPRG, 03 1706900350 CROSS TRANSFER",,Ministry of Steel - Rashtriya Ispat Nigam Limited,15,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8137360,https://bidplus.gem.gov.in/showbidDocument/8137360,16-08-2025 13:00:00
mahi,GEM/2025/B/6495181,"CHAIN, SLING, IS2760, 4t, 580MM, C/MGNT HLDNG",,Ministry of Steel - Rashtriya Ispat Nigam Limited,20,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8137175,https://bidplus.gem.gov.in/showbidDocument/8137175,16-08-2025 12:00:00
mahi,GEM/2025/B/6494767,"2031803,2031804,2033035,2033036,2033037,2033039,2033040,2033041,2033042",,Ministry of Steel - Rashtriya Ispat Nigam Limited,616,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8136704,https://bidplus.gem.gov.in/showbidDocument/8136704,16-08-2025 11:00:00
mahi,GEM/2025/B/6491010,Custom Bid for Services - SchA1 MTM NS Daily or trip maintenance of TL coaches at pit line at Prima,,Ministry of Railways - Indian Railways,6,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8132493,https://bidplus.gem.gov.in/showbidDocument/8132493,16-08-2025 17:00:00
mahi,GEM/2025/B/6397876,HOSE ASSY NONMETALIC FIRE FIGHTING,,Ministry of Defence - Department of Military Affairs,15,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8027345,https://bidplus.gem.gov.in/showbidDocument/8027345,16-08-2025 14:00:00
mahi,GEM/2025/B/6543238,Custom Bid for Services - PROFESSIONAL SERVICES AT ANDHRA PRADESH REVENUE DEPARTMENT FOR VIJAYAWADA,,Ministry of Petroleum and Natural Gas - NA,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8191505,https://bidplus.gem.gov.in/showbidDocument/8191505,16-08-2025 18:00:00
mahi,GEM/2025/B/6542102,"Custom Bid for Services - Service contract for carrying out Inspection, Testing & certification of ",,Ministry of Heavy Industries and Public Enterprises - Department of Heavy Industry,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8190237,https://bidplus.gem.gov.in/showbidDocument/8190237,16-08-2025 16:00:00
mahi,GEM/2025/B/6483726,"Custom Bid for Services - REFURBISHMENT OF OFFICE SPACES, VISITORS ROOM AND PA ROOM",,Ministry of Defence - Department of Military Affairs,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8124341,https://bidplus.gem.gov.in/showbidDocument/8124341,16-08-2025 19:00:00
mahi,GEM/2025/B/6483351,"Catering service (Event Based) - Snacks/High Tea; Veg; Special High Tea,Catering service (Event Bas",,Ministry of Defence - Department of Military Affairs,2900,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8123935,https://bidplus.gem.gov.in/showbidDocument/8123935,16-08-2025 17:00:00
mahi,GEM/2025/B/6430059,Event or Seminar or Workshop or Exhibition or Expo Management Service - National; C-IN-C WHEEL AND ,,Ministry of Defence - Department of Military Affairs,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8063549,https://bidplus.gem.gov.in/showbidDocument/8063549,16-08-2025 12:00:00
mahi,GEM/2025/B/6530765,Monthly Basis Cab and Taxi Hiring Service - Without Fuel - SUV; Mahindra Scorpio or equivalent; 202,,Ministry of Power - POWER GRID Corporation OF INDIA Limited,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8177603,https://bidplus.gem.gov.in/showbidDocument/8177603,16-08-2025 11:00:00
mahi,GEM/2025/B/6530540,Monthly Basis Cab and Taxi Hiring Service - Without Fuel - SUV; Mahindra Scorpio or equivalent; 202,,Ministry of Power - POWER GRID Corporation OF INDIA Limited,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8177317,https://bidplus.gem.gov.in/showbidDocument/8177317,16-08-2025 11:00:00
mahi,GEM/2025/B/6505987,"Pressure and vacuum relief valve,Dead Weight Safety Relief Valve WCB 200",,Ministry of Petroleum and Natural Gas - NA,2,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8149725,https://bidplus.gem.gov.in/showbidDocument/8149725,16-08-2025 14:00:00
mahi,GEM/2025/B/6507978,Roller Blind (V2),,Ministry of Defence - Department of Military Affairs,230,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8151983,https://bidplus.gem.gov.in/showbidDocument/8151983,16-08-2025 13:00:00
mahi,GEM/2025/B/6470508,"SWTCH PRSR DFRNTL 33565016,SWITCH PRESSURE 33565008,SWITCH PRESSURE 33565003,SWTCH PRSR CMPLT UNT 3",,Ministry of Petroleum and Natural Gas - NA,49,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8109302,https://bidplus.gem.gov.in/showbidDocument/8109302,16-08-2025 14:00:00
mahi,GEM/2025/B/6448921,Miniaturized Safety Firing circuit,,Ministry of Defence - Department of Defence Research & Development,10,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8084806,https://bidplus.gem.gov.in/showbidDocument/8084806,16-08-2025 10:00:00
mahi,GEM/2025/B/6429502,EXHAUST END BRG. ASSY. DRG: PD-LMMM-223 R1,,Ministry of Steel - Rashtriya Ispat Nigam Limited,8,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8062956,https://bidplus.gem.gov.in/showbidDocument/8062956,16-08-2025 16:00:00
mahi,GEM/2025/B/6386431,EB3000B-SY77957(ELABORATION UNIT),,Ministry of Defence - Department of Military Affairs,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8014190,https://bidplus.gem.gov.in/showbidDocument/8014190,16-08-2025 12:00:00
mahi,GEM/2025/B/6551596,Repair and Overhauling Service - Repair to TATA Xenon Cabin Crew BA No 20C108773W; Repair to TATA X,,Ministry of Defence - Department of Military Affairs,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8200820,https://bidplus.gem.gov.in/showbidDocument/8200820,16-08-2025 15:00:00
mahi,GEM/2025/B/6506370,Television,,Ministry of Defence - Department of Defence,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8150170,https://bidplus.gem.gov.in/showbidDocument/8150170,16-08-2025 09:00:00
mahi,GEM/2025/B/6496714,"Digital Medical X - Ray Films (V2),Digital Medical X - Ray Films (V2)",,Ministry of Labour and Employment - Employees State Insuarnce Corporation,12000,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8138941,https://bidplus.gem.gov.in/showbidDocument/8138941,16-08-2025 19:00:00
mahi,GEM/2025/B/6510922,7.00-12 TYRES,,Ministry of Petroleum and Natural Gas - NA,4,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8155265,https://bidplus.gem.gov.in/showbidDocument/8155265,16-08-2025 20:00:00
mahi,GEM/2025/B/6508356,425/65R22.5 TYRES,,Ministry of Petroleum and Natural Gas - NA,2,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8152410,https://bidplus.gem.gov.in/showbidDocument/8152410,16-08-2025 19:00:00
mahi,GEM/2025/B/6465749,Spinning Drop Tensiometer,,Ministry of Petroleum and Natural Gas - Indian Institute of Petroleum and Energy,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8103905,https://bidplus.gem.gov.in/showbidDocument/8103905,16-08-2025 19:00:00
mahi,GEM/2025/B/6509156,Custom Bid for Services - PRINTING AND SUPPLY OF ISO 14001&PSM RELATED ITEMS,,Ministry of Petroleum and Natural Gas - NA,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8153317,https://bidplus.gem.gov.in/showbidDocument/8153317,16-08-2025 12:00:00
