user_name,bid_no,name_of_work,category,ministry_and_department,quantity,emd,exemption,estimation_value,state,location,apply_mode,website_link,document_link,attachment_link,end_date
mahi,GEM/2025/B/6492472,Fume Exhaust System with Scrubber or Fume Hood with Scrubber,,Department of Space - Department of Space,2,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8134104,https://bidplus.gem.gov.in/showbidDocument/8134104,16-08-2025 15:00:00
mahi,GEM/2025/B/6494470,SPIRAL HAIR SPRING,,Ministry of Steel - Rashtriya Ispat Nigam Limited,24,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8136379,https://bidplus.gem.gov.in/showbidDocument/8136379,16-08-2025 11:00:00
mahi,GEM/2025/B/6500823,"SUPPLY - 5 HEAD COLD FLARING UNIT,ERECTION & COMMISIONING",,Ministry of Petroleum and Natural Gas - NA,2,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8143656,https://bidplus.gem.gov.in/showbidDocument/8143656,16-08-2025 15:00:00
mahi,GEM/2025/B/6499390,Desktop Computer,,PMO - Department of Atomic Energy,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8142004,https://bidplus.gem.gov.in/showbidDocument/8142004,16-08-2025 09:00:00
mahi,GEM/2025/B/6499175,"Suspended Electro magnet, Model– SE– 7530 Suspended electro magnet, Style-3-SCS7530-8206, Seria",,PMO - Department of Atomic Energy,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8141754,https://bidplus.gem.gov.in/showbidDocument/8141754,16-08-2025 09:00:00
mahi,GEM/2025/B/6495339,"SPR, TC, 50CRV4, 11 MM, 1/D-23462/00 PART 02,VOLUTE SPRG, 03 1706900350 CROSS TRANSFER",,Ministry of Steel - Rashtriya Ispat Nigam Limited,15,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8137360,https://bidplus.gem.gov.in/showbidDocument/8137360,16-08-2025 13:00:00
mahi,GEM/2025/B/6495181,"CHAIN, SLING, IS2760, 4t, 580MM, C/MGNT HLDNG",,Ministry of Steel - Rashtriya Ispat Nigam Limited,20,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8137175,https://bidplus.gem.gov.in/showbidDocument/8137175,16-08-2025 12:00:00
mahi,GEM/2025/B/6494767,"2031803,2031804,2033035,2033036,2033037,2033039,2033040,2033041,2033042",,Ministry of Steel - Rashtriya Ispat Nigam Limited,616,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8136704,https://bidplus.gem.gov.in/showbidDocument/8136704,16-08-2025 11:00:00
mahi,GEM/2025/B/6491010,Custom Bid for Services - SchA1 MTM NS Daily or trip maintenance of TL coaches at pit line at Prima,,Ministry of Railways - Indian Railways,6,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8132493,https://bidplus.gem.gov.in/showbidDocument/8132493,16-08-2025 17:00:00
mahi,GEM/2025/B/6397876,HOSE ASSY NONMETALIC FIRE FIGHTING,,Ministry of Defence - Department of Military Affairs,15,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8027345,https://bidplus.gem.gov.in/showbidDocument/8027345,16-08-2025 14:00:00
mahi,GEM/2024/B/5129164,CRYO SPRAY,,Ministry of Health and Family Welfare - Department of Health and Family Welfare,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/6606020,https://bidplus.gem.gov.in/showbidDocument/6606020,16-08-2025 09:00:00
mahi,GEM/2025/B/6169946,Integrated Ultrasonic & Bipolar In single Instrument,,Ministry of Health and Family Welfare - Department of Health and Family Welfare,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7772750,https://bidplus.gem.gov.in/showbidDocument/7772750,16-08-2025 09:00:00
mahi,GEM/2025/B/6468901,"BRANDING ELECTRODE1,BRANDING ELECTRODE2,BRANDING ELECTRODE3,BRANDING ELECTRODE4,BRANDING ELECTRODE5",,Ministry of Steel - Rashtriya Ispat Nigam Limited,27,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8107493,https://bidplus.gem.gov.in/showbidDocument/8107493,16-08-2025 17:00:00
mahi,GEM/2025/B/6514201,Portable Fire Extinguishers (V2) as per IS 15683:2018,,Department of Space - Department of Space,16,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8158897,https://bidplus.gem.gov.in/showbidDocument/8158897,16-08-2025 12:00:00
mahi,GEM/2025/B/6502819,Custom Bid for Services - Refilling of Fire extinguishers,,Ministry of Power - POWER GRID Corporation OF INDIA Limited,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8145955,https://bidplus.gem.gov.in/showbidDocument/8145955,16-08-2025 11:00:00
mahi,GEM/2025/B/6434660,High Mast Lighting Tower for large area with LED Flood Lighting System,,Ministry of Power - POWER GRID Corporation OF INDIA Limited,3,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8068631,https://bidplus.gem.gov.in/showbidDocument/8068631,16-08-2025 11:00:00
mahi,GEM/2025/B/6498328,"100254624 M1613999719 SH 10 PIPE: FE410, BE, 12MM, 1300MM, 1324MM",,Ministry of Power - NA,100,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8140782,https://bidplus.gem.gov.in/showbidDocument/8140782,16-08-2025 19:00:00
mahi,GEM/2025/B/6518102,"Construction,Concrete Stage,Painting,Fiber Sheet,Labour",,Ministry of Defence - Department of Defence,1889,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8163248,https://bidplus.gem.gov.in/showbidDocument/8163248,16-08-2025 14:00:00
mahi,GEM/2025/B/6519736,T4S AUDIT,,Ministry of Petroleum and Natural Gas - NA,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8165101,https://bidplus.gem.gov.in/showbidDocument/8165101,16-08-2025 18:00:00
mahi,GEM/2025/B/6318016,Custom Bid for Services - Hiring of Fire Fighting Services -17 Nos as per scope of work for 3 years,,Ministry of Defence - Department of Defence Research & Development,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7937073,https://bidplus.gem.gov.in/showbidDocument/7937073,16-08-2025 10:00:00
mahi,GEM/2025/B/6509156,Custom Bid for Services - PRINTING AND SUPPLY OF ISO 14001&PSM RELATED ITEMS,,Ministry of Petroleum and Natural Gas - NA,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8153317,https://bidplus.gem.gov.in/showbidDocument/8153317,16-08-2025 12:00:00
mahi,GEM/2025/B/6491939,591540320000 Pin Dia12 L495 SA276CondA Sol Anne TY310 Pin Dia 12 L 495 var 6 Drg no 4 32 010 U0011 ,,Ministry of Heavy Industries and Public Enterprises - Department of Heavy Industry,28396,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8133525,https://bidplus.gem.gov.in/showbidDocument/8133525,16-08-2025 14:00:00
mahi,GEM/2025/B/6488331,"Cover Outer 1200x20, 18 Ply for 4 Tonner/ 5 Tonner",,Ministry of Defence - Department of Military Affairs,6,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8129437,https://bidplus.gem.gov.in/showbidDocument/8129437,16-08-2025 09:00:00
mahi,GEM/2025/B/6313933,"KSB PUMP SPARES MODEL: KWPZC 65-315,KSB PUMP SPARES MODEL: MCPK 125-100-250CC",,PMO - Department of Atomic Energy,2,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7932595,https://bidplus.gem.gov.in/showbidDocument/7932595,16-08-2025 10:00:00
mahi,GEM/2025/B/6554568,Facility Management Services - LumpSum Based - DOORDARSHAN KENDRA VIJAYAWADA; CONSTRUCTION OF CARSH,,Ministry of Information and Broadcasting - Ministry of Information and Broadcasting,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8204212,https://bidplus.gem.gov.in/showbidDocument/8204212,16-08-2025 12:00:00
mahi,GEM/2025/B/6400456,"Power Contractor,IGBT,Analog Isolator PCB,Main Control PCB,SMPS",,Ministry of Defence - Department of Military Affairs,9,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8030244,https://bidplus.gem.gov.in/showbidDocument/8030244,16-08-2025 17:00:00
mahi,GEM/2025/B/6386431,EB3000B-SY77957(ELABORATION UNIT),,Ministry of Defence - Department of Military Affairs,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8014190,https://bidplus.gem.gov.in/showbidDocument/8014190,16-08-2025 12:00:00
mahi,GEM/2025/B/6470508,"SWTCH PRSR DFRNTL 33565016,SWITCH PRESSURE 33565008,SWITCH PRESSURE 33565003,SWTCH PRSR CMPLT UNT 3",,Ministry of Petroleum and Natural Gas - NA,49,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8109302,https://bidplus.gem.gov.in/showbidDocument/8109302,16-08-2025 14:00:00
mahi,GEM/2025/B/6448921,Miniaturized Safety Firing circuit,,Ministry of Defence - Department of Defence Research & Development,10,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8084806,https://bidplus.gem.gov.in/showbidDocument/8084806,16-08-2025 10:00:00
mahi,GEM/2025/B/6507978,Roller Blind (V2),,Ministry of Defence - Department of Military Affairs,230,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8151983,https://bidplus.gem.gov.in/showbidDocument/8151983,16-08-2025 13:00:00
